N_A,N_B,M,seed,trial_offset,conduct_count,self_A_count,self_B_count,self_any_count,network_only_count,p_hat,wilson_low,wilson_high,p_self_hat,p_network_only_hat,cost_yuan,certified_feasible,certified_infeasible,status,elapsed_s,label,analytic_p_self,analytic_total_upper
0,57,1000000,2026081801,0,902176,0,902176,902176,0,0.902176,0.9015921840753487,0.9027567259378784,0.902176,0.0,0.09550441666912973,True,False,FEASIBLE,1.40242600440979,global_optimum,0.9023976480157871,0.9024084885431141
0,56,1000000,2026081801,0,898145,0,898145,898145,0,0.898145,0.8975506528938754,0.898736288090212,0.898145,0.0,0.09382890058721517,False,True,INFEASIBLE,1.3718078136444092,strongest_cheaper_competitor,0.8983308833497782,0.8983417813875729
0,57,1000000,2026081807,0,902288,0,902288,902288,0,0.902288,0.9017044809411986,0.9028684282115135,0.902288,0.0,0.09550441666912973,True,False,FEASIBLE,1.4474761486053467,global_optimum,0.9023976480157871,0.9024084885431141
0,56,1000000,2026081807,0,898184,0,898184,898184,0,0.898184,0.8975897533796734,0.8987751873047704,0.898184,0.0,0.09382890058721517,False,True,INFEASIBLE,1.3926072120666504,strongest_cheaper_competitor,0.8983308833497782,0.8983417813875729
0,57,1000000,2026081819,0,902719,0,902719,902719,0,0.902719,0.9021366255380648,0.9032982803032009,0.902719,0.0,0.09550441666912973,True,False,FEASIBLE,1.3441131114959717,global_optimum,0.9023976480157871,0.9024084885431141
0,56,1000000,2026081819,0,898611,0,898611,898611,0,0.898611,0.8980178553361109,0.8992010820676193,0.898611,0.0,0.09382890058721517,False,True,INFEASIBLE,1.3577368259429932,strongest_cheaper_competitor,0.8983308833497782,0.8983417813875729
