N_A,N_B,M,seed,trial_offset,conduct_count,self_A_count,self_B_count,self_any_count,network_only_count,p_hat,wilson_low,wilson_high,p_self_hat,p_network_only_hat,cost_yuan,certified_feasible,certified_infeasible,status,analytic_p_self,analytic_total_upper,lower_gap_to_0p90,upper_gap_to_0p90,elapsed_s
0,57,200000,314159265,0,180451,0,180451,180451,0,0.902255,0.9009457367526801,0.9035488105160558,0.902255,0.0,0.09550441666912973,True,False,FEASIBLE,0.9023976480157871,0.9024084885431141,0.0009457367526800597,0.0035488105160558225,0.4116842746734619
0,56,200000,314159265,0,179651,0,179651,179651,0,0.898255,0.8969223973804344,0.89957230354935,0.898255,0.0,0.09382890058721517,False,True,INFEASIBLE,0.8983308833497782,0.8983417813875729,-0.003077602619565578,-0.00042769645064999473,0.3357689380645752
1,48,200000,314159265,0,179194,51672,171884,179194,0,0.89597,0.8946243517187784,0.89730043698988,0.89597,0.0,0.09526879722011049,False,True,INFEASIBLE,0.8949628116759689,0.8949715215715267,-0.005375648281221612,-0.0026995630101199763,0.4196028709411621
2,39,200000,314159265,0,177517,89697,159285,177517,0,0.887585,0.8861931595514394,0.8889619512691918,0.887585,0.0,0.09503317777109126,False,True,INFEASIBLE,0.8869616284164697,0.886968280152956,-0.01380684044856062,-0.01103804873080827,0.4455583095550537
3,30,200000,314159265,0,175918,117875,141292,175918,0,0.87959,0.8781563987468015,0.8810090192038504,0.87959,0.0,0.09479755832207201,False,True,INFEASIBLE,0.878350956893113,0.8783556835508265,-0.021843601253198508,-0.01899098079614958,0.316378116607666
4,21,200000,314159265,0,174194,138918,115251,174194,0,0.87097,0.8694936473554108,0.8724321017348006,0.87097,0.0,0.09456193887305278,False,True,INFEASIBLE,0.8690843694799175,0.8690873765664897,-0.03050635264458923,-0.027567898265199453,0.2824840545654297
5,12,200000,314159265,0,172274,154782,77491,172274,0,0.86137,0.8598485740424804,0.8628775438342473,0.86137,0.0,0.09432631942403354,False,True,INFEASIBLE,0.859111901937349,0.8591134808993501,-0.04015142595751964,-0.037122456165752715,0.23541617393493652
6,3,200000,314159265,0,170238,166358,23126,170238,0,0.85119,0.8496234495785836,0.8527430593655124,0.85119,0.0,0.09409069997501429,False,True,INFEASIBLE,0.8483797840116098,0.848380327646796,-0.05037655042141642,-0.0472569406344876,0.18986272811889648
