N_A,N_B,M,seed_base,p_self_mc,p_self_ci_low,p_self_ci_high,p_self_analytic,p_necessary_event_mc,p_necessary_ci_low,p_necessary_ci_high,p_necessary_analytic,analytic_classification
0,57,1000000,314159265,0.902561,0.9019782055360869,0.9031407015191196,0.9023976480157871,0.902577,0.9019942480465728,0.903156658885703,0.9024084885431141,FEASIBLE_BY_LOWER_BOUND
0,56,1000000,314159265,0.898072,0.897477464877458,0.8986634766675007,0.8983308833497782,0.898084,0.8974894957777886,0.8986754456749722,0.8983417813875729,INFEASIBLE_BY_UPPER_BOUND
1,48,1000000,314159265,0.894731,0.8941279594016526,0.8953310078127791,0.8949628116759689,0.89474,0.8941369820559334,0.8953399850893494,0.8949715215715267,INFEASIBLE_BY_UPPER_BOUND
2,39,1000000,314159265,0.886512,0.8858888253605636,0.8871322050018461,0.8869616284164697,0.886515,0.885891832514159,0.8871351978252012,0.886968280152956,INFEASIBLE_BY_UPPER_BOUND
3,30,1000000,314159265,0.878515,0.8778732329651844,0.8791538588395398,0.878350956893113,0.878523,0.8778812511021689,0.8791618406410898,0.8783556835508265,INFEASIBLE_BY_UPPER_BOUND
4,21,1000000,314159265,0.869019,0.8683563181656272,0.8696788465984838,0.8690843694799175,0.869021,0.8683583224455523,0.8696808423031924,0.8690873765664897,INFEASIBLE_BY_UPPER_BOUND
5,12,1000000,314159265,0.858746,0.8580619863568181,0.8594272573365033,0.859111901937349,0.858746,0.8580619863568181,0.8594272573365033,0.8591134808993501,INFEASIBLE_BY_UPPER_BOUND
6,3,1000000,314159265,0.848804,0.8481005100600176,0.8495048100193847,0.8483797840116098,0.848805,0.8481015119645418,0.8495058081071775,0.848380327646796,INFEASIBLE_BY_UPPER_BOUND
