employee,group_employee,fixed_group,day,status
24,24,1,6,REST
24,24,1,7,WORK
24,24,1,8,REST
24,24,1,9,WORK
24,24,1,10,WORK
25,25,1,1,WORK
25,25,1,2,WORK
25,25,1,3,WORK
25,25,1,4,WORK
25,25,1,5,WORK
25,25,1,6,REST
25,25,1,7,WORK
25,25,1,8,REST
25,25,1,9,WORK
25,25,1,10,WORK
26,26,1,1,WORK
26,26,1,2,WORK
26,26,1,3,WORK
26,26,1,4,WORK
26,26,1,5,WORK
26,26,1,6,REST
26,26,1,7,WORK
26,26,1,8,REST
26,26,1,9,WORK
26,26,1,10,WORK
27,27,1,1,WORK
27,27,1,2,WORK
27,27,1,3,WORK
27,27,1,4,WORK
27,27,1,5,WORK
27,27,1,6,REST
27,27,1,7,WORK
27,27,1,8,REST
27,27,1,9,WORK
27,27,1,10,WORK
28,28,1,1,WORK
28,28,1,2,WORK
28,28,1,3,WORK
28,28,1,4,WORK
28,28,1,5,WORK
28,28,1,6,REST
28,28,1,7,WORK
28,28,1,8,REST
28,28,1,9,WORK
28,28,1,10,WORK
29,29,1,1,WORK
29,29,1,2,WORK
29,29,1,3,WORK
29,29,1,4,WORK
29,29,1,5,WORK
29,29,1,6,REST
29,29,1,7,WORK
29,29,1,8,REST
29,29,1,9,WORK
29,29,1,10,WORK
30,30,1,1,WORK
30,30,1,2,WORK
30,30,1,3,WORK
30,30,1,4,WORK
30,30,1,5,WORK
30,30,1,6,WORK
30,30,1,7,WORK
30,30,1,8,REST
30,30,1,9,REST
30,30,1,10,WORK
31,31,1,1,WORK
31,31,1,2,WORK
31,31,1,3,WORK
31,31,1,4,WORK
31,31,1,5,WORK
31,31,1,6,WORK
31,31,1,7,WORK
31,31,1,8,REST
31,31,1,9,REST
31,31,1,10,WORK
32,32,1,1,WORK
32,32,1,2,WORK
32,32,1,3,WORK
32,32,1,4,WORK
32,32,1,5,WORK
32,32,1,6,WORK
32,32,1,7,WORK
32,32,1,8,REST
32,32,1,9,REST
32,32,1,10,WORK
33,33,1,1,WORK
33,33,1,2,WORK
33,33,1,3,WORK
33,33,1,4,WORK
33,33,1,5,WORK
33,33,1,6,WORK
33,33,1,7,WORK
33,33,1,8,WORK
33,33,1,9,REST
33,33,1,10,REST
34,34,1,1,WORK
34,34,1,2,WORK
34,34,1,3,WORK
34,34,1,4,WORK
34,34,1,5,WORK
34,34,1,6,WORK
34,34,1,7,WORK
34,34,1,8,WORK
34,34,1,9,REST
34,34,1,10,REST
35,35,1,1,WORK
35,35,1,2,WORK
35,35,1,3,WORK
35,35,1,4,WORK
35,35,1,5,WORK
35,35,1,6,WORK
35,35,1,7,WORK
35,35,1,8,WORK
35,35,1,9,REST
35,35,1,10,REST
36,36,1,1,WORK
36,36,1,2,WORK
36,36,1,3,WORK
36,36,1,4,WORK
36,36,1,5,WORK
36,36,1,6,WORK
36,36,1,7,WORK
36,36,1,8,WORK
36,36,1,9,REST
36,36,1,10,REST
37,37,1,1,WORK
37,37,1,2,WORK
37,37,1,3,WORK
37,37,1,4,WORK
37,37,1,5,WORK
37,37,1,6,WORK
37,37,1,7,WORK
37,37,1,8,WORK
37,37,1,9,REST
37,37,1,10,REST
38,38,1,1,WORK
38,38,1,2,WORK
38,38,1,3,WORK
38,38,1,4,WORK
38,38,1,5,WORK
38,38,1,6,WORK
38,38,1,7,WORK
38,38,1,8,WORK
38,38,1,9,REST
38,38,1,10,REST
39,39,1,1,REST
39,39,1,2,WORK
39,39,1,3,WORK
39,39,1,4,WORK
39,39,1,5,WORK
39,39,1,6,WORK
39,39,1,7,WORK
39,39,1,8,WORK
39,39,1,9,REST
39,39,1,10,WORK
40,1,2,1,WORK
40,1,2,2,WORK
40,1,2,3,REST
40,1,2,4,WORK
40,1,2,5,WORK
40,1,2,6,WORK
40,1,2,7,WORK
40,1,2,8,WORK
40,1,2,9,WORK
40,1,2,10,REST
41,2,2,1,REST
41,2,2,2,WORK
41,2,2,3,REST
41,2,2,4,WORK
41,2,2,5,WORK
41,2,2,6,WORK
41,2,2,7,WORK
41,2,2,8,WORK
41,2,2,9,WORK
41,2,2,10,WORK
42,3,2,1,REST
42,3,2,2,WORK
42,3,2,3,REST
42,3,2,4,WORK
42,3,2,5,WORK
42,3,2,6,WORK
42,3,2,7,WORK
42,3,2,8,WORK
42,3,2,9,WORK
42,3,2,10,WORK
43,4,2,1,REST
43,4,2,2,WORK
43,4,2,3,REST
43,4,2,4,WORK
43,4,2,5,WORK
43,4,2,6,WORK
43,4,2,7,WORK
43,4,2,8,WORK
43,4,2,9,WORK
43,4,2,10,WORK
44,5,2,1,REST
44,5,2,2,WORK
44,5,2,3,REST
44,5,2,4,WORK
44,5,2,5,WORK
44,5,2,6,WORK
44,5,2,7,WORK
44,5,2,8,WORK
44,5,2,9,WORK
44,5,2,10,WORK
45,6,2,1,REST
45,6,2,2,WORK
