day,group,minimum_workers,shift_1,shift_2,shift_3,shift_4,shift_5,shift_6,shift_7,shift_8,shift_9,shift_10,solver_name,solver_status,objective_value,runtime_seconds
5,6,33,3,0,0,11,0,0,13,0,1,5,PySCIPOpt/SCIP,OPTIMAL,33,0.0006255910002437304
5,7,24,14,0,0,3,0,0,3,2,2,0,PySCIPOpt/SCIP,OPTIMAL,24,0.0005599030000666971
5,8,41,11,0,0,19,0,0,0,0,0,11,PySCIPOpt/SCIP,OPTIMAL,41,0.0005639999999402789
5,9,40,17,0,0,13,0,0,10,0,0,0,PySCIPOpt/SCIP,OPTIMAL,40,0.0006043299999873852
5,10,45,15,0,0,16,0,0,0,0,0,14,PySCIPOpt/SCIP,OPTIMAL,45,0.0006172290004542447
6,1,29,1,4,4,2,18,0,0,0,0,0,PySCIPOpt/SCIP,OPTIMAL,29,0.000546943999324867
6,2,33,5,14,0,4,0,0,0,0,0,10,PySCIPOpt/SCIP,OPTIMAL,33,0.0005351070003598579
6,3,38,11,0,0,12,0,0,0,0,15,0,PySCIPOpt/SCIP,OPTIMAL,38,0.0006357359998219181
6,4,37,11,0,0,18,0,0,0,0,6,2,PySCIPOpt/SCIP,OPTIMAL,37,0.0007020849998298218
6,5,37,9,0,2,6,0,0,0,20,0,0,PySCIPOpt/SCIP,OPTIMAL,37,0.000545152000086091
6,6,29,19,0,0,5,0,4,1,0,0,0,PySCIPOpt/SCIP,OPTIMAL,29,0.0005655909999404685
6,7,31,4,0,4,1,21,1,0,0,0,0,PySCIPOpt/SCIP,OPTIMAL,31,0.000537830000212125
6,8,34,4,2,0,14,1,0,0,0,0,13,PySCIPOpt/SCIP,OPTIMAL,34,0.0005384710002545035
6,9,33,4,0,0,5,0,0,16,0,2,6,PySCIPOpt/SCIP,OPTIMAL,33,0.000589277000472066
6,10,30,3,13,0,7,1,0,0,0,0,6,PySCIPOpt/SCIP,OPTIMAL,30,0.0005685370006176527
7,1,34,9,1,5,11,0,0,0,0,0,8,PySCIPOpt/SCIP,OPTIMAL,34,0.0005598830002782051
7,2,30,7,0,3,13,0,0,0,2,0,5,PySCIPOpt/SCIP,OPTIMAL,30,0.0005383810002967948
7,3,39,12,0,0,12,0,0,0,0,6,9,PySCIPOpt/SCIP,OPTIMAL,39,0.0006783489998269943
7,4,37,7,0,1,13,0,0,0,11,0,5,PySCIPOpt/SCIP,OPTIMAL,37,0.0005332129994712886
7,5,40,12,0,0,17,0,0,0,11,0,0,PySCIPOpt/SCIP,OPTIMAL,40,0.0011078090001319651
7,6,38,10,0,0,20,0,0,7,0,0,1,PySCIPOpt/SCIP,OPTIMAL,38,0.0011948279998250655
7,7,36,16,0,3,11,0,1,0,5,0,0,PySCIPOpt/SCIP,OPTIMAL,36,0.0005268249997243402
7,8,34,6,0,0,8,0,6,9,5,0,0,PySCIPOpt/SCIP,OPTIMAL,34,0.0008015729999897303
7,9,35,8,0,0,10,0,0,4,0,7,6,PySCIPOpt/SCIP,OPTIMAL,35,0.0006131830004960648
7,10,40,12,0,0,13,0,0,0,11,4,0,PySCIPOpt/SCIP,OPTIMAL,40,0.0005523620002350071
8,1,28,2,3,0,9,0,0,0,0,3,11,PySCIPOpt/SCIP,OPTIMAL,28,0.0005919309996897937
8,2,27,4,0,0,12,0,0,0,0,5,6,PySCIPOpt/SCIP,OPTIMAL,27,0.0006646700003329897
8,3,41,12,0,0,12,0,0,0,3,14,0,PySCIPOpt/SCIP,OPTIMAL,41,0.0005823769997732597
8,4,34,12,1,7,5,0,0,0,2,0,7,PySCIPOpt/SCIP,OPTIMAL,34,0.0005429279999589198
8,5,37,13,0,0,17,0,0,0,3,4,0,PySCIPOpt/SCIP,OPTIMAL,37,0.0005172199998924043
8,6,37,9,0,0,14,0,0,1,0,11,2,PySCIPOpt/SCIP,OPTIMAL,37,0.0006561959999089595
8,7,32,13,3,0,9,0,0,0,0,7,0,PySCIPOpt/SCIP,OPTIMAL,32,0.0005176810000193655
8,8,40,13,0,2,10,0,0,0,0,0,15,PySCIPOpt/SCIP,OPTIMAL,40,0.0005416159992819303
8,9,35,5,12,1,9,3,0,0,0,0,5,PySCIPOpt/SCIP,OPTIMAL,35,0.0005735840004490456
8,10,39,13,0,0,13,0,0,3,2,3,5,PySCIPOpt/SCIP,OPTIMAL,39,0.0005232290004641982
9,1,28,12,0,0,8,0,0,0,0,2,6,PySCIPOpt/SCIP,OPTIMAL,28,0.0006192210003064247
9,2,30,11,0,10,0,0,0,0,0,0,9,PySCIPOpt/SCIP,OPTIMAL,30,0.0005556369997066213
9,3,33,16,0,0,11,0,0,0,0,3,3,PySCIPOpt/SCIP,OPTIMAL,33,0.0006299379992924514
9,4,41,18,0,0,11,0,0,0,0,12,0,PySCIPOpt/SCIP,OPTIMAL,41,0.0006223569998837775
9,5,38,13,0,2,14,0,1,0,0,0,8,PySCIPOpt/SCIP,OPTIMAL,38,0.0005477349995999248
