day,fulltime_workdays,cross_group_employee_days,cross_group_rate
1,142,13,0.09154929577464789
2,243,32,0.13168724279835392
3,204,38,0.18627450980392157
4,226,19,0.084070796460177
5,244,24,0.09836065573770492
6,223,28,0.12556053811659193
7,263,21,0.07984790874524715
8,252,22,0.0873015873015873
9,221,24,0.1085972850678733
10,214,41,0.19158878504672897
ALL,2232,262,0.11738351254480286
