N_A,N_B_max_cheaper,cost_yuan,p_direct_lower,p_conduction_upper,below_0p90
0,56,0.09382890058721517,0.8983308833497782,0.8983417813875729,True
1,48,0.09526879722011049,0.8949628116759689,0.8949715215715267,True
2,39,0.09503317777109126,0.8869616284164697,0.886968280152956,True
3,30,0.09479755832207201,0.878350956893113,0.8783556835508265,True
4,21,0.09456193887305278,0.8690843694799175,0.8690873765664897,True
5,12,0.09432631942403354,0.859111901937349,0.8591134808993501,True
6,3,0.09409069997501429,0.8483797840116098,0.848380327646796,True
