boundary_semantics,pA_self,pB_self,p57B_self,network_note
题面回迁+同一ID,0.2547123889803847,0.04,0.9023976480157871,只按显式回迁像建立接触
硬截断/删除越界,0.0,0.0,0.0,只能靠截断后的网络导通
回迁但拆分ID,0.0,0.0,0.0,原像/回迁像不再内禀连通
全局最小镜像,0.2547123889803847,0.04,0.9023976480157871,自短路相同，但粒子间接触被扩大
