sample,d_mm,overlap_deg,ign_btdc_deg,eoi_deg,lambda,combustion_efficiency_scale,friction_scale_multiplier,Vmin_cm3,CR,power_kW,eta_b,BSFC_g_kWh,pmax_MPa,Tmax_K,state_relative_residual,converged
0,147.66638575926268,31.955871956636173,20.00064087291028,617.7173131326771,0.9810383286320346,1.0263328794569415,1.0732544885932453,38.57560325414109,11.607663102305981,48.003337537276906,0.3512663019998847,235.60079694089856,4.953569011890374,2866.7383971391937,6.165160972805505e-06,True
1,136.3258742339796,154.18680633201902,17.873891305641436,580.6025215699445,1.1350569883907342,1.010560865860797,1.0757077583577177,73.80124057388953,6.544581637194303,31.335302732757,0.28671259238903396,288.64661994811104,2.661099771702162,2533.358193838977,1.0956348142287315e-06,True
2,149.19035060038186,92.47779579133066,28.085892176758882,609.3493039545489,1.0553984928633346,1.0211940121444414,1.04907766716226,33.80036395327568,13.106289856931872,46.72527007423503,0.3732839569880779,221.7041990162421,6.091941564803031,2694.4079540759753,2.817854550598297e-07,True
3,134.98123681363586,122.98433901118102,25.15869995565049,613.5764991955764,1.1230606029376071,1.0195754049380563,1.042763544941364,77.9459762039658,6.24975147167799,34.00749666231051,0.2962558975542773,279.34843280037285,2.972856799826052,2665.771306033007,5.347492660026323e-06,True
4,141.98044369008804,92.09047957830539,24.71587397538657,572.2955040570582,1.0802751687928103,1.015010520416434,0.9303227644279589,56.30127580404098,8.267988112958129,39.1265836339942,0.32673130015086704,253.29260052967584,3.8117614647613594,2665.3490032304467,4.980297233014174e-06,True
5,141.1140881789779,129.59918611695815,24.504841579506373,573.7436761205139,1.0970184912087608,1.015426743285005,1.0970234142462816,58.99030779162516,7.936681950085377,36.40252938371068,0.3182193550912546,260.0678411466292,3.555568529478206,2604.1974265125373,8.205790799004166e-07,True
6,132.98818938642722,132.5350768169051,22.78382570451992,613.4678706474081,0.9590853039050719,1.0018021601435245,1.0945207832715198,84.07863223747438,5.866837059532533,37.57593740612,0.2830094807718838,292.4234921880999,3.002661720155909,2963.25173775008,3.243875973534206e-06,True
7,146.55498940395535,112.76556184405499,22.22857853633764,587.1264350811517,1.0137378232737133,1.009203229572059,1.0226495143159322,42.051369114797616,10.730884199538538,44.439766859214025,0.3444969737057582,240.23032713297783,4.645926697279588,2746.536125559336,1.5210098712304437e-05,True
8,149.6801959918871,134.08538969136399,14.085298148865743,605.1478632817496,1.009180653660482,0.9895213021821345,1.0090700078324646,32.263152064829534,13.683106798303745,43.076301342874515,0.3383937819059441,244.56306561997576,4.499864575732388,2614.4590987418123,2.7111125704238013e-06,True
9,134.6222011442401,121.78935378934639,12.081043328616405,596.2668701002904,1.0729687157309888,1.023444251778404,0.9027714827483839,79.05166829660448,6.176323436373617,34.396627590916665,0.28170574224158784,293.77683263084583,2.574316457026326,2747.6687016939627,3.146962352629297e-06,True
10,138.136597666642,123.78387346957662,16.91000101945064,605.0482761591427,1.0623779702746385,1.0006485736616193,1.0401499266971277,68.21008090957287,6.999069313971723,35.78239549726896,0.2922254445067149,283.20128258972846,2.9758143229277305,2696.5761422928267,1.8958394019116006e-06,True
11,137.72650866789422,55.030747440856906,13.127104221323274,597.9847093645459,1.0742371754661142,1.0270109126039175,0.9310714984663309,69.4773635383486,6.889644949786953,38.06440595809176,0.2949695229927545,280.56668312708376,2.9544163307303886,2820.575831682202,1.3579382267316895e-05,True
12,136.73110431667592,107.31090250900314,20.404913911268824,591.8827799123591,1.0864157562022547,1.0260411183560858,0.9573562380693347,72.55095897934503,6.640132246972005,36.858419096967104,0.3016675245904762,274.3371889367368,3.067320451324003,2762.8739716284485,4.326316186980196e-06,True
13,135.22104358452137,46.32612900933035,27.678911467800326,606.7755183528909,1.0807306285273377,0.9656217179005964,0.9758561019615829,77.20722993601366,6.299982963088736,36.88419541393258,0.2856949918416247,289.674733729783,3.258461143362211,2767.4965151010542,1.33751202394168e-06,True
14,144.91085312247293,58.7573634197826,20.967831643652254,580.9538548526026,1.0301725519240683,0.9763121424661477,1.0201290098140097,47.18315635416476,9.672522885426423,41.9889668460345,0.32115757032709746,257.68852530975965,4.158414846269803,2705.3900710746684,5.121322096228838e-06,True
15,132.5963681856819,20.441887017028503,26.43574745116213,572.0408659317769,1.1214131910112912,0.966471908669315,1.0701249001297095,85.28282713031399,5.7981172418555635,33.129950753090014,0.2713284648176786,305.01267438071983,2.8692440558958205,2648.6654138989184,2.344444072608419e-06,True
16,142.704913273595,151.06338294122446,21.559856266634128,589.7599958367058,1.0113828196357437,0.9901655319274175,1.0389591644377731,54.05033972799409,8.570664779304117,39.51698456696925,0.3163906085792034,261.57104049735995,3.7394185863512965,2720.479728136084,1.6732050884614165e-05,True
17,148.7480590009025,114.51407258005806,25.717986123580694,612.1569047445298,1.0363020719312221,1.0369296877731393,0.9417325604650391,35.18736951910944,12.629087620940851,46.85502110878034,0.37511809451118555,220.62017775361517,5.644279371542421,2725.4846309120558,4.655370958799549e-06,True
18,134.5081763371217,107.79228040777546,26.962547906969125,593.7787043252429,1.1199626638910103,1.0360650637012256,1.0805323048027373,79.40273394700311,6.153437204835581,35.91689126303997,0.30171512544286305,274.29390743397613,3.1294867286739763,2778.7062820437086,7.024508651508603e-06,True
19,136.66556597494298,68.96010108064468,20.575888594061603,594.7245999865935,0.9672459411453649,0.9844245792388799,1.0380738059201553,72.75320661184738,6.624453166322871,41.159212439212226,0.2895892886241437,285.77928791098043,3.3394833676358613,2997.763104502461,1.0371962431671628e-05,True
20,136.163984030962,55.54308899014391,11.268191932291764,590.613505332198,1.0950666541023237,0.9651770048534818,0.9672493615750846,74.30057414654475,6.507319532700761,33.761525750693956,0.2662700756752117,310.8070648937722,2.6054168208189177,2647.439055281968,1.757250813185779e-05,True
21,144.0219526965801,85.10035650945055,16.67327557841322,607.4069146507502,0.9578444012469512,0.9993305727331289,1.0050073464318345,49.95279066200127,9.191674536402234,44.55539312048125,0.3197683377098027,258.8080523618338,3.931891013264411,2895.1625122176238,1.720077960225526e-06,True
22,133.37686993574886,59.74132058256716,23.630008169730925,618.1682887159951,0.98761362240638,1.0040910035899817,1.0218111758134252,82.8836279268753,5.937006421209797,39.38011235099279,0.2871521627333331,288.2047619000865,3.160323673961303,2994.582035258725,1.8400785127133893e-05,True
23,141.0229796200317,145.0982151108017,29.97207781153721,597.0442785825277,1.1037574656588764,0.9847282888319331,1.0838747186174629,59.27292327647623,7.903607594642559,36.44955136429693,0.31516334958190034,262.5896088471068,3.8137451874537933,2616.036109576045,4.3293843941808965e-07,True
24,138.28675909867835,106.66100158040993,19.27780833342402,604.4134496419198,0.9711327553586715,0.9839944099933449,1.0597173553579287,67.74589214296607,7.040174397948838,39.91540211101312,0.2932360200383321,282.22528964496547,3.310962566511733,2894.2570155998515,3.180322451029846e-06,True
25,139.77858238474263,57.01807329358296,13.809102956652698,589.4202234977226,0.9627141043200854,0.999159944321064,0.9486987241174513,63.129800236463474,7.481835864448004,42.34984581365714,0.2968684978526826,278.77198587343247,3.331300369814021,2981.1692875594376,8.426069620695106e-06,True
26,148.04293595353758,60.737463798962736,19.546735404816758,581.7059868036044,0.9599136266773901,1.0149924691520327,1.0514175360627622,37.396711011437446,11.942058598762811,48.82469558142786,0.3503592160914295,236.21077137031426,5.024606805263092,2877.364178792898,1.5301143187755775e-06,True
27,148.86821322007864,62.359787009799135,10.238340892512674,570.5359224266649,0.9848913938496081,0.9928695210704276,1.0851459741790386,34.81066257310582,12.754932915419033,42.80952927242393,0.32480214358720727,254.79702743228665,4.049312523506794,2656.4245580633296,1.0473661493684221e-06,True
28,145.89940800554558,40.53123702374346,11.184123318100998,586.1426677560573,1.114716235817289,1.0212564356275942,0.9187739649348001,44.09903312478824,10.27904705144512,39.60929167001018,0.3226927581165502,256.4625905232258,3.538702531929577,2611.1920965477,7.719476407081062e-06,True
29,134.67736067161593,39.58266607102863,28.028758049604868,581.9743806263439,1.0429443047584162,0.9690567305121933,0.9665933906801005,78.88182520337917,6.187468751301379,38.074337731055614,0.2859452230367672,289.42123883291436,3.3087410146457317,2848.7484376690513,1.4086850957239857e-06,True
30,149.38033132299762,87.72129335010628,21.332622966339844,593.1975762080388,1.0650146910944756,1.0132738990847172,0.928224874074812,33.204309902651936,13.323611136259922,45.35960355436802,0.36152820766661287,228.91331557169096,5.286565069657058,2631.171252084046,1.2332070319709097e-07,True
31,140.7945408389231,134.68981880740702,14.920863344808605,612.8523757785068,1.0523616818871093,0.98679750297465,0.9366744911398797,59.9813904034786,7.8220659863932696,35.84585208920754,0.2971809545561243,278.47888439979334,3.051207897691366,2611.79147112665,5.876932057261261e-07,True
32,145.4340366441739,104.193944792294,21.00663593675957,601.2339052932314,1.1498332372198277,1.0017150214109796,0.9543884862240232,45.55144143927748,9.983184513131787,38.264058620492534,0.33205403703298203,249.23238828575057,3.972590972095391,2505.5476753134712,5.484671193576803e-07,True
33,133.15085980464562,99.05908407698752,26.17544575269584,616.1289077449596,0.9834292077071104,0.996981309529389,1.082444503251809,83.57855585285206,5.8959568529585145,38.309705910986224,0.2861173952054871,289.24707856444246,3.167788114394148,2959.0326941056155,9.413339775392517e-06,True
34,140.16725111560964,155.96257655560734,16.186278291328353,586.7739041082402,1.038225832498352,0.9600293204191461,0.963713592790367,61.92579749472861,7.607860049327255,34.67657646377306,0.28781108113044945,287.54494220514425,2.990099992685298,2586.4947244379377,2.616152310365119e-07,True
35,140.3952574620279,23.091029412030885,18.46324135191064,594.3061800501453,1.116594572190528,0.9937786331860647,0.9535252320236113,61.21922160454327,7.684126203554657,37.84002724069558,0.3018064369118603,274.2109198745289,3.318963355260366,2677.817655636489,1.8052265836173918e-05,True
36,141.73481829739617,37.64873438172692,13.601448167674853,580.835486979334,1.0098934010323828,0.992253083325466,1.0534764039808566,57.063959759941554,8.170848378023006,40.47135676432385,0.2989987027759219,276.7858854279941,3.365690024017256,2815.4255955712197,1.264074259636427e-05,True
37,134.81470490883797,33.15326730201386,29.05148289406984,608.8658977248364,0.9666299067065822,0.9722329202014593,0.9297394024737712,78.45888244962892,6.215432472554704,41.932717906181495,0.29045793531403813,284.92463323537015,3.5878107225874345,3058.8535879018964,1.2213014589396808e-06,True
