d_mm,overlap_deg,ign_btdc_deg,eoi_deg,lambda,power_kW,eta_b,BSFC_g_kWh,pmax_MPa,Tmax_K,emission_proxy,reliability_proxy,robust_score,recommended
149.78030475862585,43.42966882930486,25.99746374242384,578.7579683249269,0.9605103780352325,49.58854073983505,0.3570906186511636,231.75803666379937,5.872410893110734,2851.1903083958523,0.5532541370088847,0.6063768795485138,0.7106697339809805,0
149.53152066094236,31.21383081588438,28.433792070603737,578.8460663374901,0.9585872762458785,49.291211389034196,0.3562791409605607,232.28589938364192,5.803465696249116,2852.285193609653,0.5422015716989232,0.6093217557981995,0.7057611245658214,0
149.55989747384723,37.84659473448235,24.79429294407984,583.5155360512605,0.9527861868413673,48.7861321846826,0.352418062012999,234.83081490472134,5.524365370764259,2857.073665364385,0.5700172283078894,0.5688258314910515,0.6834888100895542,0
149.13360864517986,28.31088008291855,21.307012756021017,585.2490464827866,0.9603413658948866,48.76752512035839,0.35213592233389157,235.01896694079485,5.4775410918809815,2851.271162087717,0.48528608455712524,0.5649793449069339,0.6980229216731544,0
148.89737782791457,23.669385880190898,25.863962103145823,584.2090944107549,0.9618245274232693,48.71592509491899,0.35291270538600295,234.50167541895902,5.555646289230248,2846.283278577082,0.4698381621355741,0.5742014003759612,0.7127389771544451,0
149.68226034155512,79.40196065961477,21.895919895347266,580.3081857257486,0.9592392629731382,48.61085786111503,0.35216559959028204,234.99916171806262,5.473537893629441,2852.2770404460407,0.6252378841193476,0.5234203205188394,0.6659440571594283,0
149.76746064296154,46.681441720678485,24.9664662225018,585.4711052049324,0.9500711550729002,48.59837312841504,0.35146860839149724,235.46518441120978,5.457356805826451,2856.951179849017,0.5949084331717784,0.5568506055202869,0.6772156400284655,0
149.08948371244998,49.05952600128268,26.17019604313157,591.3901670902534,0.9614194667274444,48.58370335450731,0.3522827704072436,234.92099995121845,5.486067977511666,2853.371927112338,0.4832464308497127,0.5291796085888655,0.710933924010984,0
149.70847067385301,29.664782205338277,20.947512961587453,586.8939286042032,0.9623469894601058,48.56465053830259,0.3513067210209176,235.57369027598975,5.441593552778161,2848.097872430315,0.4627967078924359,0.5816663601071995,0.6963186222684977,0
149.5988052048434,21.073687721672243,19.774402054990283,591.8978397657359,0.9592537469671717,48.47536839783753,0.3499968574195061,236.45532505584964,5.3339069441602405,2854.3463230211623,0.4397869550947635,0.5840452918004838,0.6888571584631461,0
149.27262025741564,59.71601655349593,24.883676902844563,591.3057829215674,0.9573686718314418,48.4648311416999,0.3513675921873083,235.53287932581418,5.398348439666183,2857.1242879974366,0.5349579858437882,0.5141083511958763,0.6919680696407872,0
148.82230243380934,74.40534254543414,24.719114998748626,582.5950747075552,0.9589058640699677,48.345805843812514,0.3514016483799138,235.5100525885458,5.389980107280695,2852.502999802097,0.6039492398403679,0.4846620076459271,0.6794502952091096,0
149.75729088492977,50.21075447729397,26.080059245791976,589.0565924553085,0.9646161917148407,48.31921874939031,0.3521140079705948,235.03359371197294,5.480172963249959,2839.702802478808,0.47164976081236454,0.5538124954724407,0.7138694177608137,0
149.10559475776017,50.090355835929216,25.329817853169086,590.8829632396054,0.952607419512086,48.23941888522485,0.3500161256081201,236.4423083247089,5.3301306036095575,2857.0270307542455,0.5515324078814176,0.5125526665852724,0.6835442778736389,0
148.73772546338333,66.58920059252965,25.960300490458966,580.9797216305637,0.9630713565189255,48.22936995047934,0.3519530377799611,235.1410893103169,5.445539060399179,2840.175147638847,0.5638706444112045,0.4932044581426706,0.6988672940837453,0
