candidate_index,robust_score_ode_3deg,worst_scenario,d_mm,overlap_deg,ign_btdc_deg,eoi_deg,lambda,nominal_Vmin_cm3,nominal_CR,nominal_power_kW,nominal_eta_b,nominal_BSFC_g_kWh,nominal_pmax_MPa,nominal_Tmax_K,nominal_state_relative_residual,nominal_converged,nominal_emission_proxy,nominal_reliability_proxy
19713,0.8480866911939722,1,149.37276121579043,55.548979717441775,29.95262487426305,591.0022088848856,0.9837964917051989,33.228063970315965,13.314801237101868,51.24957915063264,0.3716485508076255,222.6797884986052,6.762230328576749,2865.6943154918954,1.618919433317419e-06,True,0.34699330221362246,0.6781709500665083
13052,0.8326000968440537,1,148.5116799201403,31.38602288368961,29.625994883893586,594.8495130618226,0.9845380351439942,35.928266912937865,12.389277536813058,50.98639903217892,0.36509689662022754,226.6757714342897,6.382463528381983,2908.488556817259,5.680733997902188e-06,True,0.28876998237004786,0.6383829934162227
10480,0.8260983808038981,1,148.78735307596597,38.93708183469539,28.78322386567103,604.8836465184223,0.9846755795029165,35.06418236798762,12.669942820675312,50.71216928398724,0.36545217655921647,226.45540510618704,6.356033222938375,2880.1696630996867,4.462783661640259e-06,True,0.2897172229618319,0.6306422731388848
28,0.8278623754600685,1,148.6938689114853,40.552670164227735,29.6340091481613,589.53639859986,0.9827683562921616,35.357243898718934,12.573215504587818,50.93938204590508,0.36643261858698284,225.8494918077555,6.43924089790648,2894.5904377641186,4.2501867028443316e-06,True,0.3452759160070856,0.6348310045711713
9452,0.8291276783836523,1,149.00319294361117,46.69238645318781,29.164384450394586,588.6070581230115,0.982337779625581,34.387393909833044,12.899622412826623,50.906239911047855,0.36768004637518403,225.0832524243307,6.490966519925961,2875.4729119407,2.952548295075089e-06,True,0.357960358903505,0.6422431700927981
20611,0.8476030933454045,1,149.3790387563007,35.77633181447932,29.898840398375512,587.0422579576469,0.9876900863287675,33.2083658376265,13.322105980430669,51.226023104903426,0.3711126502876477,223.00134642542997,6.76801953465092,2868.2102941366115,4.21643150763214e-06,True,0.30500132320362205,0.708419369696196
6679,0.8268244099545244,1,149.08401971166293,41.56062948070166,27.704426300598644,592.3670537774266,0.9865090767399813,34.13389672428642,12.987995586715464,50.714143609746436,0.3659423739572574,226.15205720702218,6.328532603136996,2863.7931129009844,2.9019243440195236e-06,True,0.2910495543465929,0.6334715935998484
14861,0.8249647695260576,1,149.06594330703103,22.205381378879387,26.94983619903243,594.3761189289573,0.9916180692963819,34.19059246901247,12.968116775367651,50.51208326426024,0.36411369352850914,227.28785585531782,6.224456344230791,2860.911670241874,6.259473079287123e-06,True,0.20332888781618672,0.6572146740866517
18218,0.7984435075163971,1,149.0482008718368,66.31936928271796,29.534044039140884,617.5397493060324,0.987944967236301,34.246239236701136,12.948669763704075,49.163308556402036,0.36825486713604405,224.73191280071185,6.403792480982379,2796.925526249534,9.181925385005473e-07,True,0.28837399412641745,0.6106562181836492
11176,0.7978459124553385,1,148.49681110288608,22.170596750721636,26.06262546492887,597.0345879401636,0.9891763222720852,35.97486243762611,12.374525865043138,49.98949071993323,0.3589216544439595,230.57572499453843,5.896014245712514,2873.1018545500942,6.75817478137253e-06,True,0.2216900959089645,0.6007822667553936
48279,0.8243698455026096,1,149.7032671492567,54.44395479507531,25.343673641063017,595.9542717053636,0.9810110059638437,32.19072296661329,13.711643777387259,50.76245525330013,0.3664368690578973,225.84687207492556,6.261112939535142,2830.2393604805347,1.3593748592139809e-06,True,0.32593638393665497,0.631993906203005
39601,0.7973568902374235,1,148.92624776301375,49.66977511363217,25.506436575744367,604.6578900001801,0.9859482009134988,34.62868867651582,12.816705134597044,49.845901228785124,0.36153530757533237,228.90882012239132,5.938886015368719,2837.6769355501124,2.5323147738143735e-06,True,0.2847746044992049,0.5710075524847518
44329,0.8649121661494205,1,149.60185288385213,23.261230401237114,29.745065698825623,591.6815249072285,0.9689199474730972,32.50908176976956,13.587159680057848,52.75820051114319,0.37256301784473966,222.13321431743302,6.974563480143804,2920.9175538246186,5.415032137491139e-06,True,0.40640684136382016,0.7687123856595098
36819,0.8077654291473971,1,149.33914637354746,63.18952393157638,29.322750392151033,618.309294994011,0.9822766470585595,33.33353993590739,13.275834012077242,49.632636681947226,0.36985706094504706,223.75839054739944,6.535199003582876,2800.0297592684647,1.0682894397867993e-06,True,0.3229536784556646,0.6403796671637003
21465,0.8077220963517665,1,147.98429195422585,54.252737948455106,29.92046168927565,594.9733719433532,0.9829469070216594,37.58035476855222,11.888588088331964,50.31377454740622,0.3626956986328006,228.17646032643307,6.172364115116616,2905.162967305444,2.4229643931848394e-06,True,0.3434290233536184,0.5623533120143834
11257,0.8121531226565214,1,149.24332413618265,45.12561396254614,27.104157939959634,599.1687786890598,1.0095376485383099,33.634179591887836,13.166106272050722,49.468543603409294,0.36561659219443643,226.35356943987867,6.218126802811305,2803.244891787851,3.088089389240452e-06,True,0.1639713527588848,0.620902180848072
8632,0.8209092832352569,1,149.35884690089924,20.92428395847297,25.46601502056724,602.875365180005,0.9855152296624002,33.27172467384954,13.298641182546275,50.64218363491084,0.36362961130477733,227.59043300324288,6.155793695319001,2852.715753389312,5.758254127464302e-06,True,0.2363787898809496,0.6631414129072306
7437,0.7919344196075281,1,148.54523526144416,37.879839955733615,25.474708348788436,598.175933358114,0.99177953801373,35.82310824405048,12.422710740241438,49.653505296552616,0.3588668104085894,230.6109628678951,5.810117820391769,2853.0275935037675,4.825986507275934e-06,True,0.22656698815202045,0.5622584707674686
19898,0.8052483153717526,1,148.90672241637128,57.0520308978905,26.841081643923175,601.6635567481745,0.9938696048241168,34.689914383764595,12.795849328462378,49.644756900202665,0.36347778033779127,227.68550147066765,6.071144259427105,2827.357628644538,1.7633315689557878e-06,True,0.24000982622024414,0.575995987865111
47829,0.787492057055977,1,148.35067073180838,29.844551127508016,25.73903704980913,590.6254469291985,0.9823747730079654,36.43277869829277,12.231561739410282,50.0415886299222,0.35815837840493425,231.06710795995448,5.812473269065251,2880.851295993789,5.922576205752977e-06,True,0.31417503689169934,0.5712419023539492
38405,0.8271772056511897,1,148.89630410319768,43.42021453432858,28.580915716597865,602.0890976292887,0.9983185885490726,34.72258239677259,12.784751451153047,50.10281219691974,0.36607181995306226,226.0720879860856,6.317350654839656,2846.243996990589,3.717365452276077e-06,True,0.18912009161464016,0.6225352090492144
3754,0.8401354035703699,1,149.5423144147782,72.66192331959036,29.609798731114658,594.7421221071631,0.997742019313119,32.69596156528689,13.51521544858277,50.24079024934487,0.37208633129638063,222.41779320760602,6.702085439939291,2811.9355523456184,5.003811932547036e-07,True,0.2396973288745366,0.6615766506166216
18070,0.8348236692055183,1,149.4360779754191,43.044361568505124,27.620999303808983,607.7727415830975,0.9771144579417945,33.029375364915154,13.388881072295694,51.14585240606173,0.3681804343052693,224.77734550401868,6.483668726410567,2861.430655806524,3.030134816079721e-06,True,0.3430033026821513,0.6632473860575177
30734,0.8195773499117879,1,148.68676717354393,24.474581144199757,28.480773273012478,589.9388924960065,0.9949715477946054,35.379505314929894,12.5659334308292,50.26227754275293,0.36420689434983833,227.22969272009854,6.2538791517546715,2867.929764041833,6.829553894558762e-06,True,0.2139306507791788,0.642679670644439
22120,0.8396689867148215,1,149.44467001860573,50.589471892863735,29.492477925918863,598.9877165490307,1.0067982337399677,33.00241198228264,13.399002942809897,50.17950565460865,0.37076123544351286,223.2127115194701,6.652401920661061,2818.9629717151684,2.125557529950593e-06,True,0.18090243139650009,0.6734664366057067
12479,0.8104783858670771,1,149.01753596077782,35.24580725873227,26.88334070127989,596.7742807062382,1.0065967921064483,34.34241211782322,12.915208573126977,49.57918378662989,0.3636573143760539,227.57309537867678,6.123154629413558,2822.571701555238,4.58789685728035e-06,True,0.15161521563539723,0.6178139745697956
18145,0.8015428111315517,1,148.7957547246176,76.94524216157106,28.035943766751984,602.5697222794726,0.9845792142652632,35.037842212181964,12.678715852709598,49.82801678374383,0.3651747107566605,226.62746967930806,6.177595989572814,2835.957284419898,3.888154301631369e-07,True,0.3482240055934032,0.5677029093877478
9593,0.8371545744909418,1,149.43406920740193,73.20187734725347,29.9397509573792,600.2947377810841,1.00093776621801,33.03567919098157,13.386517041848922,50.044444542211245,0.3718754680233138,222.54391000717163,6.6825405928329555,2809.470091222306,5.915863718466489e-07,True,0.22248306472404636,0.6543505891133421
20125,0.8391050981755398,1,149.76525122190634,37.296321084904896,25.84907987691372,592.7455662663725,0.9685404383085521,31.996118889430136,13.78895745769105,51.87417045936468,0.36737482634522084,225.27025466869407,6.445008448663413,2875.7144042852447,3.368106257260661e-06,True,0.41102053771126107,0.6818852999861466
29161,0.8193889558062714,1,148.65850457378596,27.320429610248304,29.00628139716932,601.0537919391436,1.0045181676394324,35.46809615056062,12.537044490663453,49.89376787205737,0.36438649335651513,227.11769562952568,6.280558210315866,2854.567619960754,6.4758894146043614e-06,True,0.1485342245645861,0.638990081317331
8583,0.7752208761965591,1,148.95386198220643,70.1341406533135,25.116641682549883,609.7092526747249,0.9822700249175876,34.54209559906766,12.846328260963757,49.15100843336671,0.3611412486894072,229.15859373579946,5.844120229285961,2805.2793480682244,5.736143786799322e-07,True,0.3388665722578556,0.5399610776911259
42880,0.8251709783194137,1,149.3236573638778,74.49384468571547,28.545458268910203,600.8265602270676,0.9935582531730132,33.382139230049994,13.257962273424207,50.032737909133424,0.3693126890171553,224.08821345916678,6.449357573893044,2812.307027103992,4.035513065419963e-07,True,0.27124238448562904,0.6204542580835889
35070,0.8329538684752958,1,149.51058372341203,20.911246767037103,26.875257053883733,593.9763482848205,1.0013818480112133,32.79555119870353,13.477210729250478,50.31857503177616,0.3665707724375165,225.76437324599232,6.369303584239598,2828.3161934299787,5.758210912972277e-06,True,0.13133354098963224,0.694339976775484
